Word,Count
drunken,12
belov,12
perjury,12
metal,12
concerns,12
thieves,12
casket,12
fiery,12
knot,12
roses,12
temper,12
altogether,12
goaler,12
silent,12
became,12
store,12
enforce,12
mitylene,12
mocks,12
likes,12
lodging,12
conjure,12
penny,12
bay,12
shun,12
provide,12
notwithstanding,12
roaring,12
bondage,12
trojans,12
wounds,12
pays,12
renown,12
lusty,12
pronounce,12
gently,12
vantage,12
lodge,12
flatter,12
adventure,12
affect,12
abbey,12
split,12
suspect,12
spurn,12
drive,12
ago,12
coast,12
compass,12
diamond,12
beside,12
execute,12
ballad,12
bonds,12
trumpets,12
dukedom,12
laughed,12
rid,12
remuneration,12
mistook,12
verse,12
thread,11
stock,11
cloak,11
affected,11
sold,11
reasonable,11
conclude,11
beguile,11
hangman,11
truer,11
shoe,11
sour,11
seldom,11
herne,11
tremble,11
signify,11
parentage,11
sits,11
weakness,11
holding,11
sinews,11
britons,11
answers,11
theirs,11
society,11
prosper,11
fantastical,11
stockings,11
pleases,11
breaks,11
stead,11
semblance,11
safely,11
slip,11
banquet,11
liquor,11
waking,11
vision,11
turning,11
east,11
singing,11
share,11
sans,11
lights,11
began,11
served,11
frederick,11
swearing,11
lived,11
hourly,11
florentine,11
evils,11
newly,11
sirs,11
sufferance,11
daughters,11
roof,11
commodity,11
road,11
patiently,11
deformed,11
effects,11
backward,11
penalty,11
preserve,11
illyria,11
blown,11
native,11
chooseth,11
tide,11
lately,11
amongst,11
mounsieur,11
afterwards,11
relish,11
running,11
penance,11
