N-gramm,Count
a christian,17
a merry,17
or rather,17
fear of,17
not sir,17
master is,17
john borachio,17
being so,17
leontes camillo,17
swear to,17
isabella stage,17
lorenzo jessica,17
make an,17
ninethree i,17
meet me,17
one another,17
me when,17
will we,17
because i,17
lord of,17
you like,17
thing i,17
angelo antipholus,17
would it,17
thus to,17
leontes hermione,17
is come,17
so in,17
the garter,17
as many,17
them but,17
i stand,17
do with,17
a chain,17
sir proteus,17
heart that,17
king diana,17
boult bawd,17
swear i,17
sir if,17
know is,17
and their,17
not think,17
speak not,17
do him,17
no remedy,17
from thee,17
like you,17
not here,17
hear it,17
not been,17
a strange,17
see me,17
away i,17
youth and,17
to pass,17
my friends,17
twozero i,17
sixone i,17
his brother,17
and mistress,17
sir here,17
pair of,17
by you,17
o how,17
dir antipholus,17
going to,17
what she,17
our own,17
sevenone i,17
a month,17
your answer,17
wont to,17
do this,17
cloten stage,17
now will,17
ere you,17
with our,17
all to,17
and speak,17
how do,17
before you,17
olivia clown,17
celia stage,17
thou mayst,17
so do,17
i lov,17
from hence,17
me or,17
being a,17
it it,17
the business,17
belch stage,17
gold and,17
master ford,17
threeone i,17
hermia helena,17
lords stage,17
thee so,17
dir berowne,17
eightfour i,17
a noble,17
